City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,lodhran,29.5405,71.6336,15.72,31,0,1.52,PK,1701899060
246,santa ana de yacuma,-13.75,-65.4333,32.97,58,40,3.09,BO,1701899060
247,queimadas,-10.9783,-39.6264,27.34,56,53,3.36,BR,1701899061
248,ardakan,32.31,54.0175,11.35,19,100,0.57,IR,1701899061
249,dunedin,-45.8742,170.5036,16.0,52,71,5.36,NZ,1701899061
250,olbia,40.9214,9.4856,9.03,81,0,4.63,IT,1701899061
251,casino,-28.8667,153.05,25.31,61,84,0.32,AU,1701899061
252,xining,36.6167,101.7667,-2.24,29,0,1.09,CN,1701899062
253,tobruk,32.0836,23.9764,18.04,61,100,6.04,LY,1701899062
254,kovalam,8.3667,76.9967,28.05,83,40,0.0,IN,1701899062
255,grand gaube,-20.0064,57.6608,25.21,91,24,0.89,MU,1701899062
256,luderitz,-26.6481,15.1594,16.32,92,2,3.82,NA,1701899062
257,island harbour,50.724,-1.2758,9.4,80,100,4.02,GB,1701899062
258,gadzhiyevo,69.2551,33.3362,-15.79,97,91,4.64,RU,1701899063
259,okhotsk,59.3833,143.3,-20.18,73,100,6.15,RU,1701899063
260,northam,51.0333,-4.2167,10.37,94,100,11.1,GB,1701899063
261,lexington,37.9887,-84.4777,5.62,64,62,0.45,US,1701898772
262,villa rica,33.7321,-84.9191,10.83,50,4,1.34,US,1701899063
263,villa juarez,24.6536,-107.5411,32.14,27,75,2.06,MX,1701899063
264,aasiaat,68.7098,-52.8699,-5.42,71,100,8.98,GL,1701899064
265,glace bay,46.1969,-59.957,-0.99,78,75,4.12,CA,1701899064
266,chos malal,-37.3781,-70.2709,24.13,23,62,4.03,AR,1701899064
267,messini,37.0511,22.0078,14.54,94,100,0.51,GR,1701899064
268,antofagasta,-23.65,-70.4,18.6,76,15,4.67,CL,1701899038
269,livingston,55.9029,-3.5226,3.04,78,0,4.12,GB,1701899064
270,trinity beach,-16.7888,145.6968,26.94,69,87,4.12,AU,1701899065
271,bardai,11.65,7.2333,21.38,18,11,3.88,NG,1701898791
272,saldanha,-33.0117,17.9442,22.03,74,0,1.99,ZA,1701899065
