City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tazovsky,67.4667,78.7,-28.3,99,100,4.49,RU,1701899031
83,fale old settlement,-9.3852,-171.2468,29.09,75,98,4.81,TK,1701899032
84,college,64.8569,-147.8028,-14.03,82,100,1.54,US,1701899032
85,la'ie,21.6477,-157.9253,28.98,74,12,4.47,US,1701899032
86,prado,-17.3411,-39.2208,25.08,81,0,3.59,BR,1701899032
87,bam,29.106,58.357,12.72,19,73,1.2,IR,1701899032
88,ilulissat,69.2167,-51.1,-1.99,46,75,1.03,GL,1701899032
89,port saint john's,-31.6229,29.5448,19.73,89,100,7.36,ZA,1701899033
90,wailua homesteads,22.0669,-159.378,25.97,71,75,6.17,US,1701899033
91,west island,-12.1568,96.8225,24.99,94,100,3.6,CC,1701899033
92,crucecita,-28.95,-58.9833,24.39,88,71,3.09,AR,1701899033
93,taveta,-3.3963,37.6736,21.7,83,44,1.69,KE,1701899033
94,ushuaia,-54.8,-68.3,8.81,66,0,12.86,AR,1701898881
95,yellowknife,62.456,-114.3525,-7.71,93,100,3.09,CA,1701899033
96,oasis,33.4659,-116.0989,29.91,27,0,1.54,US,1701899034
97,dudinka,69.4058,86.1778,-25.18,98,100,3.58,RU,1701899034
98,kailua-kona,19.6406,-155.9956,30.33,73,20,4.12,US,1701899034
99,meadow lakes,61.6247,-149.6011,-3.51,91,100,0.0,US,1701899034
100,arawa,-6.2132,155.5367,28.96,71,81,2.24,PG,1701899034
101,ulsteinvik,62.3432,5.8487,1.53,63,100,3.13,NO,1701899034
102,ust-nera,64.5667,143.2,-46.0,90,16,0.72,RU,1701899034
103,mount gambier,-37.8333,140.7667,14.91,55,100,2.22,AU,1701898834
104,san patricio,28.017,-97.5169,23.05,53,78,5.2,US,1701899035
105,sesheke,-17.4759,24.2968,26.98,31,45,1.57,ZM,1701899035
106,darwin,-12.4611,130.8418,24.99,93,75,1.54,AU,1701898868
107,carauari,-4.8828,-66.8958,25.77,94,85,1.0,BR,1701898914
108,khandyga,62.6667,135.6,-45.09,97,100,0.68,RU,1701899035
109,avarua,-21.2078,-159.775,28.03,74,75,9.26,CK,1701899036
110,hoo,51.4175,0.5652,5.66,91,92,3.91,GB,1701899036
111,tchibanga,-2.85,11.0333,22.0,98,20,0.43,GA,1701899036
112,afaahiti,-17.75,-149.2833,27.93,87,100,7.5,PF,1701899036
113,st. john's,47.5649,-52.7093,-3.58,83,40,2.57,CA,1701898870
114,thunder bay,48.4001,-89.3168,1.99,80,100,5.14,CA,1701899001
115,ebon,4.582,168.6964,28.14,81,95,9.55,MH,1701899036
116,puerto ayora,-0.7393,-90.3518,29.98,90,91,3.13,EC,1701899037
117,siwa oasis,29.2041,25.5195,15.15,54,69,2.26,EG,1701899037
118,preobrazheniye,42.9019,133.9064,1.03,74,100,3.82,RU,1701899037
119,qaqortoq,60.7167,-46.0333,0.73,64,100,2.68,GL,1701899037
120,cobija,-11.0267,-68.7692,24.1,94,75,4.12,BO,1701899037
121,sokoni,-6.4333,39.55,27.64,80,100,3.71,TZ,1701899037
122,salinopolis,-0.6136,-47.3561,27.42,80,50,5.77,BR,1701899038
123,east london,-33.0153,27.9116,19.94,84,89,8.24,ZA,1701899038
124,lora del rio,37.659,-5.5275,13.66,89,100,1.44,ES,1701898826
125,karaton,-6.3424,106.1045,23.97,92,100,1.52,ID,1701899038
126,la passe,45.5549,-0.8967,4.13,88,72,4.8,FR,1701899038
127,chibougamau,49.9168,-74.3659,-11.21,79,100,1.54,CA,1701899038
128,bentota,6.4254,79.9948,25.36,91,70,1.39,LK,1701899038
129,duong dong,10.2167,103.9667,25.0,94,40,0.51,VN,1701899039
130,aykhal,66.0,111.5,-24.48,98,100,2.03,RU,1701899039
131,howrah,22.5892,88.3103,19.0,88,75,3.6,IN,1701899039
132,sitka,57.0531,-135.33,5.94,75,100,6.17,US,1701899039
133,arraial do cabo,-22.9661,-42.0278,25.98,78,0,10.29,BR,1701899039
134,sisimiut,66.9395,-53.6735,-6.73,68,68,3.46,GL,1701899039
135,misratah,32.3754,15.0925,18.21,42,100,2.95,LY,1701898993
136,ilebo,-4.3167,20.5833,22.89,91,99,0.97,CD,1701899040
137,akureyri,65.6835,-18.0878,-16.04,85,0,0.0,IS,1701899040
138,isangel,-19.55,169.2667,27.06,74,75,1.03,VU,1701899040
139,hasaki,35.7333,140.8333,10.22,66,96,9.92,JP,1701899040
140,mata-utu,-13.2816,-176.1745,27.91,79,65,5.87,WF,1701899040
141,olonkinbyen,70.9221,-8.7187,-3.71,81,100,3.63,SJ,1701899040
142,rengasdengklok,-6.1592,107.2981,26.07,89,100,2.56,ID,1701899040
143,howard springs,-12.497,131.047,24.95,90,98,1.27,AU,1701899041
144,kavaratti,10.5669,72.642,27.72,69,95,1.34,IN,1701899041
145,dame-marie,18.5667,-74.4167,26.71,77,10,5.21,HT,1701899041
146,kulhudhuffushi,6.6221,73.07,28.13,74,100,2.49,MV,1701899041
147,whitehorse,60.7161,-135.0538,-0.57,80,75,5.66,CA,1701899041
148,jasrasar,28.298,74.8093,15.42,36,0,2.24,IN,1701899041
149,jiuquan,39.7432,98.5174,0.7,26,46,2.66,CN,1701899041
150,tambacounda,13.7539,-13.7586,28.03,42,0,2.06,SN,1701898811
151,lebu,-37.6167,-73.65,14.61,79,2,6.8,CL,1701899042
152,old town,50.087,14.4202,2.78,94,100,4.12,CZ,1701899042
153,ulysses,37.5814,-101.3552,24.02,15,0,8.23,US,1701898871
154,lompoc,34.6391,-120.4579,21.12,69,40,3.09,US,1701899042
155,campbell river,50.0163,-125.2446,8.21,81,75,2.06,CA,1701898818
156,invercargill,-46.4,168.35,12.36,59,82,7.5,NZ,1701899042
157,tottori,35.5,134.2333,12.04,71,75,3.6,JP,1701899043
158,eyl,7.9803,49.8164,24.62,63,29,9.14,SO,1701899043
159,sorsk,54.0033,90.2467,-12.42,63,1,8.52,RU,1701899043
160,ar rahad,12.7167,30.65,22.69,18,68,4.33,SD,1701899043
161,krivosheino,57.3431,83.9261,-23.73,96,100,3.94,RU,1701899043
162,qarqaraly,49.4058,75.4742,-12.67,91,100,7.2,KZ,1701899044
163,balabac,7.9868,117.0645,27.11,83,54,1.1,PH,1701899044
164,daru,-9.0763,143.2092,27.17,79,40,3.73,PG,1701899044
165,argo,37.6333,22.7333,13.77,71,100,1.74,GR,1701898791
166,gao,16.6362,1.637,24.29,14,0,4.55,ML,1701899044
167,kapa'a,22.0752,-159.319,26.72,69,75,6.17,US,1701899044
168,sinabang,2.4803,96.3801,26.28,86,100,4.06,ID,1701899044
169,margate,51.3813,1.3862,7.72,95,91,1.34,GB,1701899045
170,wotho,10.1657,166.0102,27.66,78,98,10.03,MH,1701899045
171,east perth,-31.9543,115.8779,18.9,76,0,4.63,AU,1701899045
172,fort scott,37.8398,-94.7083,14.16,45,6,6.81,US,1701899045
173,jiazi,22.8779,116.067,15.14,57,70,3.15,CN,1701899045
174,new norfolk,-42.7826,147.0587,16.62,56,100,2.37,AU,1701899045
175,abbeville,50.1,1.8333,2.36,90,80,2.89,FR,1701899046
176,ermelo,-26.5333,29.9833,12.29,96,100,3.57,ZA,1701899046
177,port lincoln,-34.7333,135.8667,17.45,65,100,5.88,AU,1701899046
178,lata,40.1629,-8.3327,12.67,80,100,1.43,PT,1701899046
179,chernyshevskiy,63.0128,112.4714,-44.02,100,100,0.34,RU,1701899046
180,mishkino,55.3389,63.9175,-26.34,95,16,3.61,RU,1701899047
181,huarmey,-10.0681,-78.1522,21.69,78,100,4.77,PE,1701899047
182,kiunga,-6.1219,141.2906,24.73,94,99,0.57,PG,1701899047
183,punta arenas,-53.15,-70.9167,11.06,66,0,12.35,CL,1701899047
184,bandarbeyla,9.4942,50.8122,24.85,61,100,9.27,SO,1701899047
185,bonthe,7.5264,-12.505,26.65,85,0,2.98,SL,1701899048
186,fenyi,27.8112,114.6681,9.85,69,0,0.97,CN,1701899048
187,bridgewater,44.3835,-64.5155,0.82,71,88,5.14,CA,1701899048
188,veinticinco de mayo,-35.4323,-60.1727,18.13,94,90,3.24,AR,1701899049
189,antsiranana,-12.2787,49.2917,25.25,75,93,4.1,MG,1701899049
190,merrillville,41.4828,-87.3328,2.91,78,40,6.17,US,1701899049
191,vadso,70.0744,29.7487,-8.91,86,75,4.12,NO,1701899049
192,san rafael,-34.6177,-68.3301,29.41,8,0,6.92,AR,1701899049
193,chernyshevsk,52.5243,117.0174,-29.1,96,5,1.07,RU,1701899049
194,salavan,15.7167,106.4167,20.33,91,52,1.24,LA,1701899050
195,fada,9.5667,8.3,22.28,28,24,1.64,NG,1701899050
196,vaggeryd,57.4981,14.1484,-1.85,92,100,3.91,SE,1701899050
197,ghat,24.9647,10.1728,20.38,15,90,1.54,LY,1701899050
198,sukumo,32.9333,132.7333,12.15,68,22,6.19,JP,1701899050
199,kondopoga,62.2057,34.2614,-25.18,100,85,0.58,RU,1701899051
200,camocim,-2.9022,-40.8411,27.58,73,100,9.19,BR,1701899051
201,keflavik,64.0049,-22.5624,1.95,60,0,9.26,IS,1701899051
202,kasongo-lunda,-6.4667,16.8167,21.26,90,91,0.43,CD,1701899051
203,nyurba,63.2842,118.3319,-47.95,100,84,1.4,RU,1701899051
204,kirakira,-10.4544,161.9205,26.46,90,100,5.71,SB,1701898917
205,susuman,62.7833,148.1667,-49.45,99,71,0.45,RU,1701899052
206,reggane,26.7158,0.1714,19.73,25,18,2.67,DZ,1701899052
207,ta`u,-14.2336,-169.5144,26.86,83,33,5.47,AS,1701899052
208,antonio enes,-16.2325,39.9086,26.11,82,77,3.96,MZ,1701898787
209,tura,25.5198,90.2201,19.44,72,100,1.16,IN,1701899053
210,itoman,26.1247,127.6694,21.43,63,75,9.77,JP,1701899053
211,karratha,-20.7377,116.8463,29.95,26,6,4.28,AU,1701899053
212,banjar,-8.19,114.9675,25.12,91,93,2.43,ID,1701899053
213,hamilton,39.1834,-84.5333,5.61,69,40,5.66,US,1701898835
214,coruripe,-10.1256,-36.1756,25.07,82,21,4.58,BR,1701899054
215,at taj,24.2049,23.2857,13.2,48,0,2.01,LY,1701899054
216,nabire,-3.3667,135.4833,25.67,87,98,1.33,ID,1701899054
217,taltal,-25.4,-70.4833,20.27,66,22,3.81,CL,1701899054
218,sandwich,41.6459,-88.6217,3.42,78,20,4.12,US,1701899055
219,pyapon,16.2833,95.6833,23.55,83,58,2.06,MM,1701899055
220,sechura,-5.5569,-80.8222,24.48,65,96,6.97,PE,1701899055
221,general acha,-37.377,-64.6043,18.62,67,87,2.66,AR,1701899055
222,berezovyy,51.6667,135.7,-11.92,97,100,0.95,RU,1701899055
223,constantia,44.1833,28.65,4.38,83,100,8.53,RO,1701899056
224,konarka,19.9,86.1167,20.22,91,100,6.34,IN,1701899056
225,qarauyl,48.9451,79.255,-7.63,59,52,7.58,KZ,1701899056
226,ciudad bolivar,8.1222,-63.5497,28.71,60,98,6.73,VE,1701899056
227,pellaro,38.0167,15.65,15.17,75,75,3.6,IT,1701899057
228,guerrero negro,27.9769,-114.0611,24.93,30,0,4.45,MX,1701899024
229,happy valley-goose bay,53.3168,-60.3315,-3.83,68,75,4.63,CA,1701899057
230,pokrovo-prigorodnoye,52.6841,41.4175,-8.02,86,100,2.27,RU,1701899057
231,opuwo,-18.0607,13.84,24.01,60,59,2.13,NA,1701899057
232,dryden,49.7833,-92.7503,2.16,69,75,5.66,CA,1701899057
233,alesund,62.4723,6.1549,1.53,64,0,5.14,NO,1701899058
234,hwange,-18.3693,26.5019,29.94,25,18,4.52,ZW,1701898836
235,alice springs,-23.7,133.8833,29.75,35,0,4.12,AU,1701899058
236,kolonia town,6.964,158.206,27.0,89,100,2.57,FM,1701899058
237,ndele,8.4109,20.6473,26.37,27,60,1.22,CF,1701899058
238,ujae,8.9322,165.7642,27.83,75,97,9.87,MH,1701899059
239,mendaha,-1.0333,103.5833,23.2,92,43,1.5,ID,1701899059
240,sao joao da barra,-21.6403,-41.0511,27.05,89,1,7.25,BR,1701899059
241,kapuskasing,49.4169,-82.4331,-5.95,79,100,4.12,CA,1701898886
242,yaren,-0.5472,166.916,28.18,78,99,6.01,NR,1701899059
243,tinajo,29.0788,-13.7081,18.49,72,40,2.06,ES,1701899060
244,talnakh,69.4865,88.3972,-24.73,99,100,3.73,RU,1701899060
